,model,n_features,alphabet_name,time,current_memory,peak_memory,dense_matrix
0,AllOrderModel,441,protein,0.00030803680419921875,0.009837,0.05092,False
1,AllOrderModel,441,protein,0.00031685829162597656,0.009733,0.050912,False
2,AllOrderModel,441,protein,0.0003211498260498047,0.009701,0.050904,False
3,AllOrderModel,441,protein,0.000270843505859375,0.009669,0.050896,False
4,AllOrderModel,441,protein,0.00026798248291015625,0.009637,0.050888,False
5,AllOrderModel,441,protein,0.00026488304138183594,0.009573,0.050872,False
6,AllOrderModel,441,protein,0.0002620220184326172,0.009541,0.050864,False
7,AllOrderModel,441,protein,0.0002601146697998047,0.009509,0.050856,False
8,AllOrderModel,441,protein,0.0002598762512207031,0.009477,0.050848,False
9,AllOrderModel,441,protein,0.0002651214599609375,0.009445,0.05084,False
10,AllOrderModel,441,protein,0.0012617111206054688,0.013461,3.210288,True
11,AllOrderModel,441,protein,0.0012447834014892578,0.013453,3.210312,True
12,AllOrderModel,441,protein,0.0012590885162353516,0.013389,3.210312,True
13,AllOrderModel,441,protein,0.0012302398681640625,0.013357,3.210312,True
14,AllOrderModel,441,protein,0.0012509822845458984,0.013325,3.210312,True
15,AllOrderModel,441,protein,0.001268148422241211,0.013293,3.210312,True
16,AllOrderModel,441,protein,0.0012569427490234375,0.013261,3.210312,True
17,AllOrderModel,441,protein,0.0012772083282470703,0.013229,3.210312,True
18,AllOrderModel,441,protein,0.0012569427490234375,0.013197,3.210312,True
19,AllOrderModel,441,protein,0.0012669563293457031,0.013165,3.210312,True
20,AllOrderModel,9261,protein,0.000492095947265625,0.150293,0.848624,False
21,AllOrderModel,9261,protein,0.0004661083221435547,0.150285,0.848624,False
22,AllOrderModel,9261,protein,0.000453948974609375,0.150285,0.848624,False
23,AllOrderModel,9261,protein,0.0004849433898925781,0.150285,0.848624,False
24,AllOrderModel,9261,protein,0.0004520416259765625,0.150285,0.848624,False
25,AllOrderModel,9261,protein,0.00045108795166015625,0.150285,0.848624,False
26,AllOrderModel,9261,protein,0.00045609474182128906,0.150285,0.848624,False
27,AllOrderModel,9261,protein,0.00045108795166015625,0.150285,0.848624,False
